"identificador","nombre","baños","dormitorios","precio"
1211540,"Czaar Peter Eastern Docks apartment","1.0",1,100
785432,"Amsterdam Houseboat 'Centre'","1.0",2,200
7239681,"Nice apartment very central!","1.0",1,80
13232468,"AMAZING and SLEEK STUDIO in CITY CENTRE","1.0",1,129
11073534,"Cozy Apt in the heart of Amsterdam","1.0",1,100
12679111,"Stylish private room @ Amsterdam center","1.0",1,80
7075779,"SUNNY BIG 3 BEDROOM IN CENTER","1.0",3,150
12052807,"Lovely apartment in the very center of Amsterdam!","1.0",1,115
12941223,"Quiet high-end area next CS + free highspeed WiFi","1.0",3,150
2750373,"Great city center family apartment","1.5",2,168
7796623,"Canalview apt.center, breakfast & bikes inc","1.0",1,130
1079184,"Spacious apartment on the canal","1.0",1,165
9336712,"PRINSENGRACHT | CITY CENTRE | 5STAR","1.5",1,139
7846243,"Old Masters Apartment","1.5",2,175
9336652,"A Unique Stay  -  CITY CENTER!","1.5",1,99
96048,"De Baronie B&B in historic centre","1.0",1,60
13301542,"Centrally located apartment in Amsterdam","1.0",1,120
10003118,"A very nice room in the city center","1.0",1,60
12908664,"Centrum Canal Apartment *Unique location*","1.0",2,290
7141052,"Hip Attic Loft / canal view","1.0",1,88
11007678,"Apartment on canal in city center","1.0",1,98
2580443,"Part of great central apartment","1.0",1,69
7629100,"Right in the heart of excitement","2.0",1,287
5109351,"Haven of Peace at City Center","1.0",1,185
13609232,"Central, modern and peaceful apartment","1.0",1,128
325165,"Studio in the centre of Amsterdam","1.0",0,80
1078472,"Luxury houseboat near Nieuwmarkt","1.0",1,171
496497,"Houseboat Uncle Pete Centre A'dam!","1.0",1,167
5701148,"Culture Apartment","1.0",1,159
6550672,"Light-filled apartment in Amsterdam","1.5",2,130
10335767,"World class loft canal apt.","3.0",3,581
2946162,"Antonia Houseboat in Amsterdam","1.0",2,171
10318925,"Canal penthouse in the center","1.0",2,168
11957307,"Central, light & spacious apartment","1.0",1,146
9502213,"Central Apartment near Rijksmuseum","1.0",1,120
9565209,"Spacious Central & Homey Apartment","1.5",1,129
2820243,"Wonderful Beds in BEST neighborhood","1.0",1,149
3306522,"Modern apartment @ old quarter","1.0",2,150
1864726,"New design houseboat, green centre","1.0",1,265
7271405,"Amsterdam Canal View Apartment","1.0",0,181
10777555,"2-pers. kamer in Amsterdam Centrum","1.0",1,149
12743606,"Stylish & spacious apartment","2.0",1,169
816048,"Amsterdam Center City House","1.5",3,251
1339705,"Designer Canal Apartment","1.0",2,395
8548664,"Studio on canal great for couple","1.0",0,95
13201684,"Spacious comfy central apartment","1.0",2,165
3879930,"Spacious and unique apmnt Amsterdam","1.5",3,276
8876256,"Stylish classic houseboat city center!","1.0",2,265
1523283,"Small but cosy appartment for two","1.0",1,164
13085837,"Beautiful apt, walking distance from train station","1.0",1,130
13268455,"Bright and Modern STUDIO in CITY CENTER!","1.0",0,110
10581459,"The Love Boat","1.0",1,100
13727190,"Central Luxury Apartment with a stunning View","1.5",2,175
13628834,"Cozy apartment in center","1.0",1,105
3143024,"Skinny Bridge Apartment Amsterdam","1.0",0,133
12514682,"New renovated big house city centre","1.5",3,175
1635683,"Bohemian apartment city centre","1.0",1,146
12416356,"Super central & cozy flat","1.0",1,100
9500000,"17th Century Canal View in Center.","1.0",1,130
8320324,"Amazing apartment in city centre!","1.0",1,149
10843464,"Cozy & Centrally located Houseboat","1.0",2,200
2159904,"Top center apartment with terras","1.0",1,187
12003391,"Charming Apartment Amsterdam Center","1.0",1,129
6254671,"Canals, museums, and rooftop views","1.5",1,87
10872844,"Center & clean, near Museum square","1.0",1,210
12021788,"New ! Boat2Stay","1.5",3,150
356220,"Comfortable quiet room in Center","1.5",1,111
8835898,"Room in a charming canal house - 23","1.0",1,49
3371858,"Modern and bright apt - with cat!","1.0",1,80
7238464,"Amsterdam MONIKA VIP HouseBoat","1.0",2,199
9612335,"Modern spacious apartment - Amstel","1.0",2,157
5859463,"Clean apartment in city center","1.0",2,149
10515223,"City centre apartment Amsterdam","1.0",1,73
11268820,"Central Design Loft Waterlooplein!","1.0",2,146
4584120,"Beautiful & Well-located Canalhouse","1.5",1,149
10580654,"Beautifull apartment in city centre","1.0",1,95
12423961,"Quiet room on canal in center","1.0",1,95
2986776,"Luxury Open 3-Level Apartment","1.0",2,250
8123008,"Cosy room + sunny terrace!","1.0",1,111
1045038,"Center located room,red light,wifi","1.0",1,72
13562434,"Leidseplein | Heart Of Amsterdam | Double Bed","1.0",1,90
12579382,"Cozy apartment in the city center","1.0",1,100
9925157,"★The Best House In Amsterdam★","1.5",1,65
1831427,"Nice top floor Appartment in Centre","1.0",1,80
6673141,"☆ Rembrandt Square Delight ☆","1.0",1,120
12743105,"Sunny apartment in the City Centre","1.0",1,120
6418802,"City centre luxurious apartment","2.0",2,251
5296871,"Entrepotdok Room on the Canal","1.0",1,60
10184676,"Blake, amazing location!","1.0",1,120
8548182,"Beautiful apartment in city centre!","1.0",1,150
12709714,"18 Amsterdam GetAway Apartment","1.0",1,149
2191154,"Old Dutch studio, beautiful view!","1.0",1,124
7335745,"Nieuwmarkt - Waag II apartment","1.0",1,155
3403539,"Great house in center of Amsterdam","2.0",2,171
10645240,"Beautiful apartment in Amsterdam","1.0",1,160
11890386,"Pretty and central riverside appt!","1.0",2,150
7302839,"City center apartment inc parking","1.0",1,130
11202194,"Gorgeous Canalhouse in perfect spot","1.0",2,130
2708012,"nice city  centre apartment","1.0",1,99
11365620,"Nieuwe Herengracht","1.0",1,100
193038,"17thC. studio center Amsterdam","1.0",1,99
1266433,"""The Library"" canal area Amsterdam","1.0",1,100
8187901,"Stunning Apartment in Canal House","1.0",1,160
6057968,"Big ground floor apt in park","1.0",2,150
1044448,"Center-Canalview-Cooking Island-Light Bright House","1.0",4,400
6607523,"Lovely Historical Centre Apartment","1.0",2,149
13069516,"City Centre Cosy Apartment within Canal Area","1.0",1,138
4877509,"Big & Bright apartment + extra br","1.5",2,140
5565630,"Spacious loft in city center","1.0",1,100
10448050,"Home Sweet Home,4 bedrooms","2.5",4,518
1404050,"Jordaan! Cosy & charming Apartment","1.0",1,124
593101,"cozy room in Amsterdam's center","1.0",1,65
814216,"Great 1BR Center City- roof terrace","1.0",1,140
7335055,"Nieuwmarkt - Waag III apartment","1.5",2,251
978043,"Historical canal apartment center","1.0",2,159
8776772,"Dream Houseboat on Amazing Canal","1.5",2,251
715799,"CANAL APPARTMENT- Amsterdam Center!","1.0",1,200
2845562,"Double canal house Amsterdam Centre","2.0",4,451
2845566,"Canal View in chique green area","1.0",1,120
8612725,"Newly renovated loft in city centre","1.0",1,199
13429614,"Prime location, roomy and furnished","1.0",0,130
9792353,"comfortable family house","1.0",3,195
6778480,"Beautiful Apartment Prinsengracht.","1.0",1,150
3352506,"Leidse Square New Luxury Appartment","1.0",1,210
10743370,"Luxurious family home nice location","2.0",3,150
7301045,"Cozy apt Center Amsterdam","1.0",1,95
3854939,"Unique Amsterdam Houseboat","1.0",1,181
159223,"Charming houseboat, historic center","1.0",1,140
13004307,"Private 100m2 apartment in green city centre","1.0",1,155
10776061,"Bright apartment in city centre","1.0",1,99
1928669,"Great located house with 3 bedrooms","2.0",3,251
1830345,"Luxury apt in central Amsterdam","1.0",2,181
7171512,"Traditional warehouse apartment","1.0",1,181
11234722,"Rooftops","1.5",2,300
6876570,"charming houseboat in Amsterdam","1.0",1,195
12643722,"Entrepotdok Appartment on the Canal","1.0",2,120
1621222,"Spacious apt. in Amsterdam Centre","1.5",1,160
8710938,"4p ap @ city centre near dam square","1.0",2,181
2779916,"In the centre of Amsterdam","1.0",1,181
12217095,"Simple little canal cityapartment.","1.0",1,100
13331165,"Great apartment @ canal Amsterdam city centre","1.0",2,251
3664578,"PRIVATE ROOM  SHARED BATHROOM","1.0",1,251
2517619,"LOCATION, LOCATION, LOCATION","1.5",0,98
59968,"Rembrandt square Apartment","1.0",1,126
11659697,"Family home with canal view","2.5",3,239
1010056,"Duplex along canal in citycenter","1.0",1,165
11495829,"View on the canals","1.5",1,100
7335573,"Nieuwmarkt - Waag I apartment","1.0",1,155
7761534,"Center of A'dam, Leidseplein","1.0",1,75
8714685,"Luxurious&Cozy CityCenter Apartment","1.0",2,300
9268159,"Lovely attic room in best Location","1.0",1,146
4451234,"19th Century Grand 4-bedroom apt.","1.5",4,350
10480012,"DE LUX Apart, 130 sqm, 2 bedr 4 4ps","1.0",2,165
780674,"Beautiful apartment in city centre","1.0",1,195
4268308,"Lovely apartment city centre","1.0",1,136
9529700,"Cozy Apartment with Canal view","1.0",1,120
4057422,"MY AMSTERDAM DREAM","2.0",1,147
256340,"Centrally Located Amsterdam Apt","1.0",1,50
4057394,"110m2: light, bright and new!","1.0",2,150
1501469,"Fabulous citycentre apartment!","2.0",2,296
13247212,"Modern houseboat on broad canal - very central","1.5",1,251
3926133,"Central, quiet, charming B&B Houseboat Morocco","2.0",1,124
10446937,"Great Light & Central Canal Apt","1.0",2,165
5859388,"Sunny apartment in the city centre","2.5",3,251
13756473,"Charming room in the centre of Amsterdam","1.0",1,70
8644656,"Authentic canalhouse in city-centre","1.0",2,139
5892596,"Two romantic rooms in the center","1.0",1,140
7590226,"B&B in the City Center","1.0",1,129
13035489,"Nice apartment, clean, very central!","1.0",1,150
10872765,"Leidseplein Residence","1.5",2,474
6285243,"Zoku Loft - Home/Office Hybrid","1.0",1,139
6039195,"Private room in Amsterdam centre","1.0",1,200
518038,"Penthouse apt. with roofterrace","1.0",1,171
419725,"Bright Houseboat in City Center","1.0",3,181
7497587,"Spacious Apartment in City Centre","1.0",1,136
13199187,"Brand new cosy apartment in City Centre","1.0",1,124
517944,"Charming flat @ centre of A'dam!","1.0",2,120
12849397,"Room in the Heart of Amsterdam!!","1.5",1,100
10883799,"A nice & cozy apartment","1.0",1,60
780471,"New Apartment Amsterdam City Centre","1.5",1,136
13756597,"Lovely and cosy family apartment A'dam city centre","1.0",3,200
3205268,"Cosy apartment right in AMS centre","1.0",2,206
714884,"Sunny, Elegant, Spacious apartment in the Centre","1.5",1,111
1729960,"Sweet apartment city center A'dam","1.0",1,100
6612353,"Modern Home| Center| Private Garden","2.5",3,297
2581825,"Beautiful Apart in Amsterdam Center","1.0",1,130
3204411,"Super located family apartment","1.0",2,226
13821233,"Amsterdam centre canal apartment","1.0",1,95
943407,"LA REMISE Chambre Nord",,1,150
4515109,"Skinny Bridge Canal Corner House","2.0",2,286
5356415,"At the canal, unique terrace!","1.0",2,401
12641520,"Cozy apt in the heart of Amsterdam","1.0",1,99
9462627,"Beautiful home for the Holidays!","1.0",1,175
10539146,"The Little Prince","1.0",2,276
2541837,"great ligth app. in the citycentre","1.0",2,111
13035214,"Stylish, Authentic & Comfortable with Canal view","1.0",1,175
7726748,"Double boat, windmill-view, center","2.0",2,350
648826,"Cozy apartment centre first canal","1.0",1,125
12860351,"Lovely apartment @ amazing location","1.0",1,150
9725516,"4p Jonker Family Residence for 30+","1.0",2,124
8807992,"Amsterdam Centre Luxury Canal House","1.5",2,250
2860631,"Stay in the city centre! (4)","1.0",0,115
12018446,"Luxury Patio Apartment","2.0",1,259
7430789,"Great place Amsterdam centre-east","1.0",1,84
10183289,"Apartment with canal view.","1.0",1,110
13558192,"Amazing, spacious 2 bedroom home with garden!","2.0",2,171
8917055,"Private room in city centre","1.0",1,120
550017,"Cosy city loft view RIJKSMUSEUM","1.0",1,130
877702,"The Weavery Boutique Bed&Breakfast1","1.5",1,150
4154383,"ON THE CANALS IN A HOUSEBOAT!!","1.0",1,125
3218591,"Seb's Canal View App., City Center","1.0",1,150
12308538,"Exclusively located Penthouse","1.5",1,501
2547992,"Luxury apartment Amsterdam centre","1.0",3,370
11034875,"calm&neat couple peaceful stay AMST","1.0",1,99
9593072,"City center apartment, canal view!","1.0",2,129
11165921,"Lovely bnb in the middle of AMS","1.0",1,98
3203283,"Lovely Canal House in Centre for 4!","1.0",2,226
1204392,"Unique studio apartment in the city","1.5",,120
254104,"The Flying Pancake B&B Amsterdam","1.0",1,146
10674009,"Luxurious at canal belt with garage","2.0",2,199
10313542,"City chique family apartment","1.0",4,356
1482998,"2 rooms apartment in east Centre","1.0",1,85
13296943,"Wonderfull City center appartement free wifi","1.0",2,189
6058955,"Lovely quiet apartment in centre","1.0",1,120
11559431,"Amstel river garden appartment","1.0",0,120
12247540,"Loft Apartment De Plantage","1.0",2,185
713193,"Fabulous 3floor home@city centre!","1.5",3,150
4743636,"Room in a charming canal house - 32","1.0",1,58
57811,"A Modern City Centre apartment","1.0",1,125
6382042,"Zoku Loft XL - Home/Office Hybrid","1.0",1,164
9724374,"Spacious Private Room, City Center","1.0",1,70
7134945,"Luxurious loft 100m fr Rijks museum","1.5",2,451
7757518,"comfi apartment in Amsterdam","1.0",2,120
4185741,"Canal house on absolute A-location","1.0",1,140
1891902,"220m2 loft with garden in historic city centre","1.5",3,350
8347162,"Apartment in Amsterdam","1.0",1,99
992499,"RENOVATED HOUSEBOAT CITY CENTRE","1.0",2,251
8609137,"Lovely apartment in city center!","1.0",1,150
11263379,"Giant AmsterdamClassic TerraceHouse","2.5",4,175
7037025,"Modern loft apartment in centre","1.0",2,150
11034681,"Inspiring Apt@ DAM/Waterloo square","1.0",0,110
13754415,"5★S★T★A★R★","1.5",1,112
6250516,"Cosy apartment with amazing view","1.5",1,175
1073117,"Art House B&B, The Art of Travel 2","1.0",2,171
10248156,"SUPERB LOCATION /INDUSTRIAL DESIGN!","1.0",1,112
10936266,"Clean, bright & cosy city apartment","1.0",1,150
5464004,"Penthouse City Center, Great View!","1.0",1,350
909221,"Lovely house at canal with terrace!","1.0",2,226
4382626,"White Raven Houseboat","1.0",1,235
679838,"Penthouse with terrace in centrum","1.0",1,296
4775827,"Spacious Luxury Canal Apartment","1.0",4,346
13033368,"spacious room in the heart of the city centre","1.0",1,140
3399014,"Studio apartment Amsterdam City(6)","1.0",0,111
13655401,"Beautiful 3R Apartment Leidseplein","1.0",2,200
8084800,"Houseboat Prinsengracht Amsterdam","1.0",2,175
6279157,"Modern Apt in City Center + Terrace","1.0",1,155
1891590,"Spacious canal penthouse in Centre","1.5",2,175
10444017,"Private Room in Heart of Amsterdam!","1.0",1,90
12508384,"Central Room in the heart of A'dam!","1.5",1,86
10509529,"Cosy Room in the Heart of Amsterdam","1.0",1,99
13360339,"Cozy & walking distance to everywhere in Amsterdam","1.0",2,200
1760455,"Klaziena Houseboat","1.0",3,321
6446260,"Canal apartment with a view.","1.0",1,200
6380720,"Bright, Central Canal-Facing Studio","1.0",0,111
7494833,"Design loft canal view & roofgarden","1.0",1,251
4282929,"Boutique Penthouse Rijksmuseum","1.0",2,150
317959,"Private apartment Amsterdam Centre","1.0",1,110
13640718,"Cosy room in the city centre with a bright garden","1.0",1,80
1149725,"Bed & Breakfast the Perfect Home","1.0",1,95
3235970,"Recentely renovated studio for 4","1.0",1,181
9264648,"The Studio, Amsterdam centre.","1.0",0,75
13556157,"Light studio in center Amsterdam","1.0",0,95
13304433,"Majestic Residence@CityCentre-Leidsesquare&Canals","1.0",2,140
2021675,"BEAUTIFUL AMSTERDAM PRIVATE ROOM","1.0",1,73
940369,"Appartment City center canals","1.0",2,125
12769577,"Tulid D apartment in Amsterdam","1.0",2,175
6109568,"Bright apartment near Waterloo, Skinny Bridge.","1.0",1,90
383182,"Unforgettable time on a houseboat","1.0",2,218
2860016,"Charming studio in centre! (12)","1.0",0,100
2414501,"Historic Canal House stunning view","2.0",4,286
874315,"Private, quiet room in old center","1.0",1,99
11229062,"Wonderful Apt+Garden@Centre/Canals","1.0",1,129
8706862,"Houseboat on perfect location","1.0",2,150
7002924,"Spacious Canal House","2.0",4,496
10440491,"Charming room in central Amsterdam","1.0",1,45
4569548,"Romantic Room in Center East","1.0",1,69
13458109,"Beautiful Canal View Apartment With Balcony!","1.0",1,120
937759,"Bright studio in the city centre","1.0",1,87
7232162,"HOUSEBOAT supercentral in Amsterdam","1.0",2,200
10050189,"Central Residence","1.5",3,220
4610631,"Spacious A'dam Central Apartment","1.0",0,99
3149579,"Penthouse in centre overlooking zoo","2.0",3,335
4020075,"Dols- Apartment Kerkstraat","1.0",1,139
13162309,"Apartment in the very heart of Amsterdam","1.0",1,120
13389450,"Spacious monumental loft apartment in city centre","1.0",2,150
2676525,"Studio Amsterdam centre","1.0",1,100
8476396,"Perfectly located Amsterdam center","1.0",1,90
7788226,"Sail 2015 @5 min walk+free parking","1.0",3,169
284319,"Excellent Room 1 centre Amsterdam","1.0",1,115
4609694,"Beautiful Spacious Piano Apartment","1.0",1,139
5691015,"Comfort Room only Central Station","1.5",1,99
12198767,"Stylish apartment for 2 in the heart of Amsterdam","1.0",1,130
9196644,"【ツ】 Canal view near Leidseplein 【ツ】","1.0",2,120
3724341,"Waterfront Penthouse, City Central","1.0",2,251
13163687,"Great apartment in the heart of center Amsterdam","1.0",1,130
2499782,"Fully renovated 16th century house","1.0",1,210
9932655,"sunny house near Artis, great views","2.0",3,265
4119684,"Deluxe Modern Amstel Canal View","1.0",1,180
744574,"Kiki's Penthouse Apartment","1.0",5,261
13720663,"XXL Full City Centre Apartment","1.0",3,251
744520,"Kiki's Garden View Apartment 02","1.0",2,261
7855156,"B&B Studio in Amsterdam Centre","1.0",0,100
806603,"Cozy living in Amsterdam Center","1.0",2,181
6639303,"Jeffrey's Houseboat centrum! 28+ or Family","1.5",3,150
2054325,"Canal View in the City Centre","1.0",0,111
7166128,"Historical Warehouse in City Center","1.0",2,111
11032708,"Spacial appartment in quiet street","1.0",2,160
12769379,"Tulip C Apartment in Amsterdam","1.0",2,185
7297113,"Lovely neighborhood, great home","1.0",1,136
1726520,"Canalhouse with fabulous views","1.5",2,220
11032598,"Eye-Catching Apt@ DAM/Waterloo","1.0",0,110
55256,"Charming centric apartment","1.0",1,70
1102846,"Bright in the centre of Amsterdam","1.0",1,100
12145656,"Historical HOUSEBOAT | CITY CENTER","1.0",1,99
2249674,"*Houseboat in centre of Amsterdam*","1.0",3,150
3724193,"Charming apartment @ great location","1.0",1,136
7271985,"Lovely central houseboat Amsterdam!","1.0",1,190
10965354,"Big private room & beautiful view in city centre!!","2.0",1,85
10703192,"Cosy and bright A'dam apartment","2.0",3,200
8966479,"Charming flat in central location","1.0",1,180
6345018,"appartment with garden","1.0",1,60
4713353,"1 bedroom Apartment Museum District","1.0",1,149
5836359,"nice light studio appt a'dam centr","1.0",0,100
12460954,"Penthouse @ Best Location you can get!","1.5",1,150
5625228,"Modern apartment for couples.","1.0",0,105
4707046,"The Coolest Neighborhood in Town","1.0",2,95
12375427,"HUGE (182m2) APT near CITY CENTER","2.0",3,400
9721216,"Casa Waterloo Amsterdam","1.0",1,226
7492962,"Bright Central Apartment + Terrace","1.0",1,115
5231919,"Room in Modern Apt, close to center","1.0",1,85
3036456,"SPACIOUS ROOFTERRACE de Pijp & RAI","1.0",1,150
12080411,"Bright, sunny, canal-side apartment","1.5",1,160
4052229,"Stay in the Heart of Amsterdam!","1.0",2,130
9917690,"Stunning Canal View Apartment!","1.0",2,300
6477028,"Beautiful apartment in city center.","1.0",1,140
7918810,"Canal view apartment In the Center","1.0",1,98
414917,"Cent Adam Lux (2-4p) Apt 90 sqm(m2)","2.0",2,299
1922229,"apartment in the city centre!","1.0",1,100
13554855,"A cozy room in the center","1.0",1,65
13522088,"NEW Superb Modern city centre apartment","1.0",1,155
1463449,"Beautiful Amstel River Apartment","1.5",1,159
11161861,"Cosy Stylish room @ Leidseplein","1.0",1,89
6398676,"Spacious Private Room on Houseboat","1.0",1,138
10014949,"Modern apartment with great view","1.0",1,120
11292867,"Authentic large loft at canal","1.5",1,195
9490628,"Nice 2floor apartment for 2 people","1.0",1,64
4804757,"Charming apartment with canal view","1.0",1,181
315558,"Amsterdam Center Houseboat","1.0",1,276
7065754,"5 * penthouse with canal view","1.0",1,299
7557255,"Enzo Apartment","1.5",2,251
11980922,"Apartment city centre","1.0",1,150
11522160,"Quiet & light apartment in center","1.0",1,200
12013103,"Hermitage Canal Apartment","1.0",2,200
12373532,"Zoku Loft - Home/Office Hybrid.","1.0",1,139
1170370,"Stunning Canal view studio- 1620's","1.0",1,140
13818858,"Amsterdam Centre Waterlooplein","1.0",1,60
842678,"Beautiful new studio centre east","1.0",1,125
4610966,"Houseboat, very center of Amsterdam","1.0",2,276
3003987,"Add-Studio Six","1.0",1,95
874104,"Quiet Apartment in Centre","1.0",1,120
874076,"The Weavery Boutique Bed&Breakfast2",,1,100
1955400,"Gorgeous family home near Museum Sq","1.0",3,226
8377910,"Room City Centre near Vondelpark","1.0",1,99
8878344,"Lovely Houseboat Amstel River","1.0",2,296
8476191,"Beautiful central canal appartment","1.0",1,108
7918225,"Luxurious House with 3 Double Rooms","1.0",3,441
3068507,"Stylish apartment on the canal!","1.0",1,129
1331739,"Bright Canal Loft with amazing view","1.0",2,258
1953187,"Houseboat in center of Amsterdam","1.0",2,181
4641239,"Luxury Top Location At Magnelli  IV","1.5",2,350
2675147,"Romantic apartment in city center","1.0",1,150
13619651,"Sunny apartment on a canal with a cozy balcony","1.0",1,150
9850294,"Nice apartment very close to center","1.0",1,120
3100075,"Beautiful apartment in the center!","1.0",2,150
1942086,"Modern & Spacious Apt, close Center","1.0",2,120
12769064,"Tulip B Apartment","1.0",1,146
3919222,"City Center Apartment Amsterdam","1.0",1,160
6081844,"Canal Studio Apartment","1.0",0,89
5688623,"Canal view studio apartment!","1.0",0,99
7725619,"Refined Luxury Apt in  City Center","1.0",2,296
1035528,"Central Canal House Apartment","1.0",2,111
7097242,"Fokke Son's A Place 2 Stay","1.0",1,146
7261061,"Loft in center october-november-december 2017","1.0",2,84
13060995,"Apartment in Amsterdam: city centre","1.0",2,185
13711165,"Charming & spacious family house with 3 bedrooms","1.5",3,185
9816925,"Two Floor City Centre Canal House","1.5",2,451
6081376,"1 P Studio City Bungalow","1.0",1,70
546221,"Authentic Houseboat c.center, A'dam","1.0",2,171
7591376,"Exceptional Apt-Rooftop@City Centre","1.0",2,160
4314565,"Appartment close to Central Station","1.0",1,125
8902074,"1-br ap. within historic canal belt","1.0",1,115
5165908,"Romantic and Artistic garden house","1.0",1,272
9687879,"Apartment in Amsterdam center","1.0",2,99
2642725,"Good View Houseboat","1.0",2,300
8803098,"Cosy apt. near centre w/ great view","1.0",1,120
10113814,"MODERN BIGNEW 2BR APT IN CENTER","1.0",2,136
9851660,"2 bedrm app near Rijksmuseum","1.0",2,160
12804908,"Room in AMS Center!","1.5",1,90
6533303,"Light city centre apt with terrace","1.0",2,210
938669,"a unique house near the Rijksmuseum","1.5",1,175
5033421,"Canal Apt Centre - with great view!","1.0",2,136
4070599,"Knus appartement in hartje centrum","1.0",1,111
12373844,"Lovely Apartment in City Centre","1.0",1,100
5087884,"Canal situated home opposite the Rijksmuseum","1.0",2,136
10506043,"Light, central, amazing apartment!","1.0",1,150
11161348,"Spacious Stylish room @ Leidseplein","1.0",1,105
20168,"Lockable Studio/Private Bathroom","1.0",1,80
7491266,"Leuk huis in Amsterdam Centrum","1.0",2,82
13323973,"Apt in City Center | Canal Balcony","1.5",2,139
740995,"Love Nest for rent in the center!!!","1.0",2,120
6508171,"Amazing loc. w/ 360panorama terrace","1.0",1,150
8375921,"Bright cozy central attic apartment","1.0",1,140
10276464,"Cozy Private Room near Center","1.0",1,93
1396297,"Top location - Newly decorated","1.0",2,200
11974912,"Luxurious apartment in city center","1.0",2,400
3888616,"Monumental cosy maisonette - centre","1.0",1,125
1690441,"Great apartment city center","1.5",2,251
3918664,"Loft - house in Amsterdam centre!","2.0",3,200
4180798,"23 m2 room in idyllic old centre","1.0",1,120
7523132,"Studio in the heart of the centre","1.0",1,75
2902819,"Luxury Houseboat Amsterdam C.","1.0",1,226
2968351,"Private bedroom in the center","1.0",1,80
7359247,"Awesome house in heart of Amsterdam","1.5",2,150
10871252,"Cosy with view on the canal","1.0",2,238
13093581,"Amsterdam Centre Romantic Studio","1.0",0,136
3754672,"Classic canalhouse on perfect spot","1.0",1,111
7850669,"Two bedroom appt in city center!","1.0",2,200
7326345,"Super location near centre","1.0",1,80
5682963,"Museum Square City centre","1.0",1,136
12863558,"Chic 2 BEDROOM in CITY CENTER","1.0",2,169
12832684,"Quiet apartment in the heart of Amsterdam!","1.5",1,100
184282,"Very Dutch and cozy flat in center","1.0",2,195
12505071,"STUNNING location. next to Amstel!","1.5",2,169
13520876,"Single bed in shared room -2","1.0",1,60
3461086,"Glorious Duplex on Amsterdam Canal","1.5",2,190
642190,"Cute Condo in heart of Amsterdam","1.0",1,139
5273445,"Luminous loft in the Plantage","1.5",3,220
543790,"Unique Houseboat City Centre, A'dam","1.0",2,191
3722301,"Luxury apartment. Prime location","1.5",2,227
9227303,"Charming Penthouse w/ Roof Terrace","2.0",2,321
9882564,"Spacious apt downtown Amsterdam","2.0",3,350
4852733,"Canal Loft Design Apt in Center","1.0",1,120
5359619,"Cozy vintage room city center","1.0",1,55
4442099,"Cosy Studio in ancient house","1.0",1,113
1886198,"Spacious/colorful 1900s apartment","1.0",1,125
13092845,"Katja's City Apartment","1.0",1,200
5748389,"Amsterdam Rembrandtplein Room","1.0",1,80
3590060,"Monumental apartment in city centre","1.0",2,150
4147100,"Quiet in heart center Amsterdam!","1.0",1,185
7456622,"Studio in the center of Amsterdam","1.0",1,60
12994276,"Spacious Accomodation With Balcony","1.0",1,120
2901618,3,"1.0",0,100
4015468,"Sunny Family Houseboat Amstel River","1.0",2,150
3428190,"100 m2 with stunning view!","1.0",2,171
13453680,"Lovely bright central appartment","1.0",1,111
13551970,"Beautiful houseboat on Prinsengracht!","1.0",2,181
9554260,"Bohemian house boat near center","1.5",3,381
30431,"Canal-view apartment","1.5",1,111
2967803,"Central, unique canal apartment","1.5",2,349
3459223,"Canal view & terrace Prinsengracht","1.0",2,120
8833187,"Cosy apartment A'dam Centre/East","1.0",1,125
738926,"Apartment in Central Amsterdam 2-4p","1.0",1,175
12984680,"Luxurious 2 bedroom apt - centre","1.0",2,104
5752944,"Houseboat","1.0",1,150
10242154,"Clean & Basic APT in Buzzing East","1.0",1,110
13616625,"Spacious Accomodation With Balcony","1.0",2,111
443698,"The Warehouse: at home in Amsterdam","1.0",1,136
4736274,"Very light and spacious app (140m2)","1.0",2,200
2345576,"Canal Villa Apartment + Roofgarden","2.0",3,360
10701389,"Charming Houseboat in Citycentre","1.0",2,150
3077899,"Cozy, quiet family apt in center","1.0",3,149
5687849,"Perfect charming studio (10)","1.0",0,120
3902558,"Light, brand new canal house studio","1.0",0,115
13619858,"Apartment with garden in Amsterdam city centre!","1.0",1,111
1952281,"Room 10mins from centre in hip Oost","1.5",1,94
5043969,"Dahli's Street Studio 00","1.0",1,125
12863967,"In the heart of Amsterdam","1.0",2,200
3099026,"Central Amsterdam garden apartment","1.0",1,115
7588304,"Incredible Apt-next Leidseplein","1.0",2,160
772474,"Center/Canal Loft; terrace 2 people","1.0",0,90
5982570,"Apartment situated at park!","1.0",2,175
636439,"17 Amsterdam Stay Hollywood","1.0",1,185
7324805,"Renovated Private Canal View 3p Ap.","1.0",2,250
4015174,"Beautiful appartment in the center!","1.0",1,104
13131962,"Rustic apartment historic features","1.0",2,171
6734900,"Apartment City centre of Amsterdam","1.0",1,140
9609390,"Ground level garden app. in centre","1.0",2,125
6538221,"Penthouse in centre of Amsterdam","1.0",4,216
10666949,"NEW Modern Centre Canal House Mansion","1.0",2,160
543561,"studio-appartment in Amsterdam","1.0",0,90
705423,"luxe apartment in amsterdam city","1.0",1,165
1723551,"Room in the heart of Amsterdam","1.0",1,80
11559158,"City Center Modern Clean Apartment","1.0",1,146
13241249,"Right in the center, spacious and quit.","1.0",2,160
6374838,"Leidse Square, city centre!","1.0",1,90
5227941,"Amazing apt in the city center","1.0",2,311
